# Cada linea es una cifra medida en esta ejecucion.
# clave	valor	nota
fuente.commit	d6afae20bbefba56728251f34f8e3870c43e2cbd	sin cambios respecto del commit de la medicion
cuenta.R2.KingWen.alcanzable_mas_cercano_al_esperado	1008	
cuenta.R2.KingWen.desviacion_minima_posible	0	
cuenta.R2.KingWen.fuerza.el.empate	0	criterio declarado: minimo y maximo coinciden en el valor esperado
cuenta.R2.KingWen.comprobacion.epsilon	2016	comprobaciones par por elemento, sobre 1 elementos del grupo de 1
control.semilla	20260809	la misma del commit anterior, ya congelada
control.repeticiones	300	muestra de los 40320 ordenes de familia, no enumeracion: el coste de la contabilidad lo impide
control.octetos.grupo.identico.al.historico	300	de 300, el grupo R1 no cambia al barajar el orden de familia
control.octetos.el.grupo.fuerza.un.valor	8	anchura cero: la estructura determina el recuento entero
control.octetos.el.grupo.fuerza.el.empate	8	anchura cero y ademas el valor forzado es el esperado
control.octetos.recuento.observado.igual.al.esperado	27	para comparar con el control del commit anterior
control.octetos.anchuras.distintas	12	conjunto de anchuras observadas
control.octetos.anchura.maxima	176	
control.palacios.grupo.identico.al.historico	300	de 300, el grupo R1 no cambia al barajar el orden de familia
control.palacios.el.grupo.fuerza.un.valor	0	anchura cero: la estructura determina el recuento entero
control.palacios.el.grupo.fuerza.el.empate	0	anchura cero y ademas el valor forzado es el esperado
control.palacios.recuento.observado.igual.al.esperado	3	para comparar con el control del commit anterior
control.palacios.anchuras.distintas	84	conjunto de anchuras observadas
control.palacios.anchura.maxima	952	
conv.Mawangdui.yang1.bottomMSB.minimo	1008	
conv.Mawangdui.yang1.bottomMSB.maximo	1008	
conv.Mawangdui.yang1.bottomMSB.observado	1008	
conv.Mawangdui.yang1.bottomMSB.orbitas.libres	0	
conv.Mawangdui.yang1.bottomLSB.minimo	1008	
conv.Mawangdui.yang1.bottomLSB.maximo	1008	
conv.Mawangdui.yang1.bottomLSB.observado	1008	
conv.Mawangdui.yang1.bottomLSB.orbitas.libres	0	
conv.Mawangdui.yang0.bottomMSB.minimo	1008	
conv.Mawangdui.yang0.bottomMSB.maximo	1008	
conv.Mawangdui.yang0.bottomMSB.observado	1008	
conv.Mawangdui.yang0.bottomMSB.orbitas.libres	0	
conv.Mawangdui.yang0.bottomLSB.minimo	1008	
conv.Mawangdui.yang0.bottomLSB.maximo	1008	
conv.Mawangdui.yang0.bottomLSB.observado	1008	
conv.Mawangdui.yang0.bottomLSB.orbitas.libres	0	
conv.JingFang.yang1.bottomMSB.minimo	1008	
conv.JingFang.yang1.bottomMSB.maximo	1008	
conv.JingFang.yang1.bottomMSB.observado	1008	
conv.JingFang.yang1.bottomMSB.orbitas.libres	0	
conv.JingFang.yang1.bottomLSB.minimo	1008	
conv.JingFang.yang1.bottomLSB.maximo	1008	
conv.JingFang.yang1.bottomLSB.observado	1008	
conv.JingFang.yang1.bottomLSB.orbitas.libres	0	
conv.JingFang.yang0.bottomMSB.minimo	1008	
conv.JingFang.yang0.bottomMSB.maximo	1008	
conv.JingFang.yang0.bottomMSB.observado	1008	
conv.JingFang.yang0.bottomMSB.orbitas.libres	0	
conv.JingFang.yang0.bottomLSB.minimo	1008	
conv.JingFang.yang0.bottomLSB.maximo	1008	
conv.JingFang.yang0.bottomLSB.observado	1008	
conv.JingFang.yang0.bottomLSB.orbitas.libres	0	
conv.KingWen.yang1.bottomMSB.minimo	957	
conv.KingWen.yang1.bottomMSB.maximo	1059	
conv.KingWen.yang1.bottomMSB.observado	1013	
conv.KingWen.yang1.bottomMSB.orbitas.libres	19	
conv.KingWen.yang1.bottomLSB.minimo	957	
conv.KingWen.yang1.bottomLSB.maximo	1059	
conv.KingWen.yang1.bottomLSB.observado	1013	
conv.KingWen.yang1.bottomLSB.orbitas.libres	19	
conv.KingWen.yang0.bottomMSB.minimo	957	
conv.KingWen.yang0.bottomMSB.maximo	1059	
conv.KingWen.yang0.bottomMSB.observado	1003	
conv.KingWen.yang0.bottomMSB.orbitas.libres	19	
conv.KingWen.yang0.bottomLSB.minimo	957	
conv.KingWen.yang0.bottomLSB.maximo	1059	
conv.KingWen.yang0.bottomLSB.observado	1003	
conv.KingWen.yang0.bottomLSB.orbitas.libres	19	
caracterizacion.Mawangdui.coincide	1	R1 es exactamente: permutar lineas dentro de cada trigrama, con cualquier mascara
caracterizacion.Mawangdui.orden.predicho	2304	seis por seis permutaciones, por 64 mascaras
caracterizacion.JingFang.coincide	1	R1 es exactamente: sin mover lineas, complementar la misma linea en los dos trigramas
caracterizacion.JingFang.orden.predicho	8	dos elevado a tres mascaras
caracterizacion.KingWen.todos.conmutan.con.el.giro	1	todo elemento de R1 conmuta con el giro de media vuelta
caracterizacion.KingWen.coincide.con.el.centralizador	1	R1 es exactamente el centralizador del giro dentro de la familia afin
caracterizacion.KingWen.orden.del.centralizador	384	
